Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Afghanistan,AFG,..,..,20,20.5,21.4,22.6,25.1,27.7,29.4,30.4,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Albania,ALB,..,..,4.4,4.3,4.3,4.2,4.3,4.4,4.3,4.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Algeria,DZA,..,..,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Angola,AGO,..,..,14,14.9,15.2,15.7,18,20.5,22.1,23.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Argentina,ARG,..,..,2.8,3,3.4,3.5,3.5,3.4,3.3,3.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Armenia,ARM,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Australia,AUS,..,..,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,..,..
